S.no,Name of the report,Year,Released Month,Link,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New,,
26,"Decode Your

Termsheet",2023,Nov,https://drive.google.com/file/d/1S6fq32V-YiF2YR8-s61Gw5AKPzDtEI2F/view?usp=sharing,"termsheet, investment, finance, business, decoding investment agreement, financial terms, business contract, deciphering terms",1013,22000,22003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Decode-Your-Termsheet-%20Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/26.webp,,
27,Decoding Digital India,2024,Jan,https://drive.google.com/file/d/1-hNcp1cKLL2v8NoOaBUhefWUszyLnwbU/view?usp=sharing,"digital growth, tech in India, digital economy, technology trends, Indian tech, DPI",1013,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Decoding-Digital-India%20Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/27.webp,,
28,Experience Economy,2022,Jan,https://drive.google.com/file/d/1g8hqYebfFfc_7QzabHNJivBcZBKsuB04/view?usp=sharing,"experiential economy, customer engagement, service trends, experience market, consumer experience, entertainment, experience",1013,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Experience-Economy_Final.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/28.webp,,
29,State of Women In Tech Entrepreneurship 2020 In India,2020,Nov,https://drive.google.com/file/d/18nWCE7u5Vc1vlmv5IIzgqP41TcuS0-2i/view?usp=sharing,"female entrepreneurs, tech industry, women founders, startup ecosystem, 2020 trends ",1010,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Yourstory/Finalversion-MakersWomeninTechReport-1613978390144.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/29.webp,,
30,Gameconomy: Primer On India's Gaming Opportunity,2023,Jan,https://drive.google.com/file/d/1GzQGdpFmIVwmMRkVbRL1vThh_L5t_eWr/view?usp=sharing,"gaming industry, game market trends, video games, gaming insights, India games, game",1013,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Gameconomy-by-Kalaari-Jan-2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/30.webp,,
31,Hindustan Hamara : A look into the Indian opportunity,2021,Dec,https://drive.google.com/file/d/13hgkIK0wzt2GY7ZUPZdDxLuxyhtg5jK9/view?usp=sharing,"India market, Indian economy, opportunity analysis, market trends,  Indian business, economic outlook, market insights, growth prospects",1013,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Hindustan-Hamara-Kalaari-Capital-2021.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/31.webp,,
32,India SaaS: Founder Playbook,2023,Feb,https://drive.google.com/file/d/1Nqxkal6aioutzIRpoDdTEPIRSIN79OgS/view?usp=sharing,"SaaS companies, software services, founder guide, tech startups, SaaS trends ",1013,20000,20003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Kalaari-SaaS-%E2%80%93-Founder-Playbook-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/32.webp,,
33,ONDC: Frictionless Digital Commerce,2023,Nov,https://drive.google.com/file/d/10Tp-5KXdHmu9jT42rlB6nd0ZJ7HJ4KZ9/view?usp=sharing,"digital marketplaces, e-commerce platforms, seamless commerce, online retail, ONDC trends, ecommerce, ecom",1013,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/ONDC-Primer-%E2%80%93-Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/33.webp,,
34,ONDC Seller Side: Frictionless Digital Commerce,2023,Aug,https://drive.google.com/file/d/1vI-ZQQTSV14rBV9LEue8kvWyUZtbIK8g/view?usp=sharing,"digital marketplaces, e-commerce platforms, seamless commerce, online retail, ONDC sellers , ecommerce, ecom",1013,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/ONDC-Primer-%E2%80%93-Part-1-Final.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/34.webp,,
35,State of Women In Tech Entrepreneurship 2020 In India,2023,March,https://drive.google.com/file/d/1TznzyntSVm5A0BpQ2YWhxLBOwl7FPBw0/view?usp=sharing,"female entrepreneurs, tech industry, women founders, startup ecosystem, 2020 trends ","1013, 1010",22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/State-of-Women-Entrepreneurship_CXXO_Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/35.webp,,
36,Uniquely India: Digital Opportunity,2021,Aug,https://drive.google.com/file/d/1tJVB76k8VX_Oebsgz-HEjiTDsMOlatDb/view?usp=sharing,"digital growth, tech in India, digital economy, unique trends, Indian tech ",1013,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/uniquely-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/36.webp,,
37,State of The Fintech Union 2022,2022,Aug,https://drive.google.com/file/d/1obdGzs-yI-R22Yjo89hTEmSfBnfL0w1W/view?usp=sharing,"financial services, digital banking, fintech analysis, financial trends, 2022 insights ","1004, 1018",9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Matrix/state-of-india-fintech-union-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/37.webp,,
38,State of The Fintech Union 2023,2023,Sept,https://drive.google.com/file/d/1EeMDnJoMYtixqlFdCsvkPscGBsJItYZQ/view?usp=sharing,"financial services, digital banking, fintech analysis, financial trends, 2023 insights ","1004, 1018",9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Matrix/state-of-the-fintech-union-2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/38.webp,,
39,Cracking The Code : Unveiling India's Consumer Landscape,2023,Dec,https://drive.google.com/file/d/1GnXwmOd2qnDHO-hGIjQaNb433XIpwPOO/view?usp=sharing,"consumer behavior, market analysis, India market, consumer trends,  consumer insights, market research, retail landscape, consumer preferences","1006, 1019",5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Chiratae%20Consumer%20Tech%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/39.webp,,
40,The Rise Of Digital Bazaars In India,2022,Dec,https://drive.google.com/file/d/1ZmJq5RJbsXKrAVr6sCjCYDKnnjr1e0eL/view?usp=sharing,"e-commerce platforms, online retail, digital trade, marketplace trends, India digital, ecommerce",1001,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/Digital%20Bazaar_Accel.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/40.webp,,
41,The Winds Of Change: Trends Shaping India’s Fintech Sector- Edition II,2022,Sept,https://drive.google.com/file/d/1ey4VS_vu606nTRlaUlizMTFdZl5igyet/view?usp=sharing,"financial services, digital banking, fintech growth, market insights, financial trends",1002,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/ey-winds-of-change-india-fintech-report-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/41.webp,,
42,E-Conomy India 2023,2023,June,https://drive.google.com/file/d/13jyhhDeGB3RedW4ptARiMtM33LRBtkq1/view?usp=sharing,"digital growth, tech economy, economic trends, digital market, India 2023 , digital economy, ecommerce, ecom","1001, 1017, 1022",5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/india_economy_report_2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/42.webp,,
43,Delivery Delight Index,2021,June,https://drive.google.com/file/d/1WPlQG9nAcQANERAfUT0W6GYc_2z25Fu7/view?usp=sharing,"delivery performance, logistics trends, customer delivery, e-commerce logistics, satisfaction index, delhivery",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Delivery%20delight%20index%208.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/43.webp,,
44,"Beauty D2C Perspective- Is direct the way to go for
Beauty?",2022,Nov,https://drive.google.com/file/d/1U8KDbrdiNxcZ-5tD46q9lCU_LQQUHH1y/view?usp=sharing,"beauty industry, D2C brands, direct-to-consumer, market perspective, beauty ecommerce, D2C strategy, cosmetic brands, consumer direct",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RSC-Beauty-D2C-Perspective-vF.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/44.webp,,
45,"Restaurants D2C Perspective- How can restaurants sustain in
the evolving food service
industry?",2022,Nov,https://drive.google.com/file/d/12OCuRfdDTPCiHk6Z6jnsC-LNWyPjJblB/view?usp=sharing,"restaurant industry, food service, D2C strategy, market perspective, restaurant survival, food delivery, digital transformation, dining trends",1003,5000,5007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RSC-Restaurant-D2C-perspective-vf-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/45.webp,,
46,Online Higher Education & Lifelong Learning: A $5B Opportunity,2020,Aug,https://drive.google.com/file/d/1db1duS-VLKPHWDZbZ8Awbu26en-GX_TH/view?usp=sharing,"digital learning, education trends, e-learning growth, education market, online courses ",1003,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/%20Summary%20highered%20market%20narrative%20redseer%20report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/46.webp,,
47,Neobanking In India: The Matrix Upgraded,2022,April,https://drive.google.com/file/d/1yz4dduu_e3UT680t1-VFKuAtuKXS1yr6/view?usp=sharing,"online banking, digital finance, fintech trends, banking innovation, neobank trends ",1003,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer%20neobanking%20report%20final%20versionv3.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/47.webp,,
48,The Future of Online Payments 2023,2023,June,https://drive.google.com/file/d/1KD0dxXnHFdfU9FhiG8j26J4taj6wf_N8/view?usp=sharing,"e-payments, payment technology, digital finance, financial transactions, payment insights ",1003,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20future%20of%20online%20payments.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/48.webp,,
49,Online Grocery: What Brands Need To Know?,2020,Sept,https://drive.google.com/file/d/1wJc12hEGVBXSbzMbtQPpfLNR4_xhpMsQ/view?usp=sharing,"grocery e-commerce, online shopping, retail trends, digital groceries, market analysis, ecommerce, grocery ecommerce, bigbasket","1003, 1024",5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Smart-Clicks-To-Win-Indias-Online-Groceries-_-General-Merchandise-Basket-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/49.webp,,
50,India Agritech Perspective Vol - 1,2022,Sept,https://drive.google.com/file/d/1SzDAZNCHJo-mqzYrfCF2-IYVLvKYJdVv/view?usp=sharing,"agri tech trends, farm tech, agriculture insights, agribusiness, tech in farming, agri-tech",1003,2000,2001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Agritech-Report-Ver-2LQ.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/50.webp,,
51,The Dire Need And Rise of Digital Chronic Disease Management In India,2022,June,https://drive.google.com/file/d/1UBhMt8E8rmzm2S5bxZzc0l8p9WgnGIGL/view?usp=sharing,"digital health, chronic care, medical management, health trends, disease management ",1003,10000,10002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20Dire%20Need%20and%20Rise%20of%20Digital.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/51.webp,,
52,Logistics Needs of Indian D2C,2023,Sept,https://drive.google.com/file/d/1v0tMc4CksJWCcRtkjT_NSAGf2g8fseT0/view?usp=sharing,"e-commerce logistics, supply chain management, delivery trends, direct-to-consumer logistics, logistics solutions, delivery, delhivery",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/D2C-logistics-report_10-10-23_v4.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/52.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20E-logistics%20in%20India.pdf
53,Creator Marketplace: Bridging Gap Between Brands and Influencers in a Ballooning Digital Ad Market- Digital Advertising In India And Disruptive Trends,2023,Jan,https://drive.google.com/file/d/1SesqnpEJy8to4uRceOuS7E1CDREoLE0m/view?usp=sharing,"influencer marketing, digital ads, advertising trends, brand collaboration, market insights ",1003,19000,19001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Digital-Ad-and-creator-marketplace_vF-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/53.webp,,
54,Demystifing Kirana Ecommerce In India: eE2B Report,2022,Sept,https://drive.google.com/file/d/1DxsXYcn6lmDEjaGzsidmPJ46MoNvNcK_/view?usp=sharing,"Kirana ecommerce, Indian retail, e-commerce, market analysis,  local retail, small shop ecommerce, digital retail, Kirana trends, mom and pop",1003,5000,5008,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/eB2B-report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/54.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-Report-Demystifying-Indias-SFV-Platforms-08112384.pdf
55,Edtech In India 2019-20,2020,May,https://drive.google.com/file/d/1vye5qBUrdGVGaONQ64wkvR-TOHTLwCU0/view?usp=sharing,"e-learning, digital education, education startups, tech in education, education sector, ed-tech",1003,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/EdTech-in-India_An-Omidyar-Network-India-%E2%80%93-RedSeer-Perspective.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/55.webp,,
56,Entertainment & Advertising : Riding The Digital Wave,2021,July,https://drive.google.com/file/d/1mS4h1irCjuELfZhR8qR0VUWpLiXiMb8n/view?usp=sharing,"digital media, ad trends, entertainment industry, digital advertising, market insights, adtech, ad-tech",1003,19000,19002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/entertainmentandadvertisingridingthedigitalwave-210729133233-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/56.webp,,
57,Gated Community: $500B Consumption Story In 2026,2021,Nov,https://drive.google.com/file/d/1hQWIh8RBOJtEkl_fmh_v3GyXgBOtFiKI/view?usp=sharing,"community consumption, market forecast, economic trends, future insights, consumer market, mygate, nobroker, societies, apartments",1003,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/gatecommunity-211110065843.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/57.webp,,
58,The Golden Age of India Internet,2022,Feb,https://drive.google.com/file/d/14kr4th9rOIuoHpQ8mMT5FQ0Ln-Ekg_2K/view?usp=sharing,"internet trends, digital economy, tech growth, online market, internet analysis, consumer tech",1003,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/groundzero6-220329053215.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/58.webp,,
