Serial No.,Name of the report,Year,Released Month,Author/Company,Sector,Sub-sector,CDN Report Link,Thumbnail Links- New,,
11,Hacking The Cybersecurity Market,2020,October,Blume Ventures,Software,Cybersecurity,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Cybersecurity%20Thesis%20Final%20-%20External.pptx.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/11.webp,,
12,Developer-Led landscape,2022,Sept,Blume Ventures,Infrastructure & Security,Dev tools,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Dev%20Market%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/12.webp,,
13,Future Of HR tech: From India For The World,2023,Aug,Blume Ventures,Software,HRTech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/HRTech-Thesis-Presentation.f1693292706.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/13.webp,,
14,Indus Valley Annual Report 2022,2022,April,Blume Ventures,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Indus%20Valley%20Annual%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/14.webp,,
15,Indus Valley Annual Report 2023,2023,April,Blume Ventures,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Indus%20Valley%20Annual%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/15.webp,,
16,Mental Healthcare Thesis By Blume Ventures,2022,October,Blume Ventures,Healthcare,Mental Health,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Mental%20Healthcare%20Report%20Blume.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/16.webp,,
17,The Omega Files: Look Into Blume's Fund I Returns,2023,Dec,Blume Ventures,Venture Capital & Private Equity,VC Returns,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/The%20Omega%20Files_%20Episode%201.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/17.webp,,
18,Beauty Unveiled : Decoding The Success of Pure-Play Beauty Companies,2023,Sept,"RedSeer, Peak XV",Consumer Tech,Beauty & Personal care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RedSeer_BPC%20Report_.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/18.webp,,
19,AgriTech: India’s Sunrise Sector,2023,Sept,Kalaari Capital,Agritech,Agritech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/AgriTech-Indias-Sunrise-Sector.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/19.webp,,
20,India Venture Capital Report 2021 (Covering 2020 Only),2021,March,Bain & Company,Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/bain_report_india_venture_capital_2021_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/20.webp,,
21,India Venture Capital Report 2022 (Covering 2021 Only),2022,March,Bain & Company,Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/Bain-India-VC-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/21.webp,,
22,"Beyond E-Commerce 3.0 : D2C, Ecom Enablement & ONDC",2023,Jan,Kalaari Capital,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Beyond-E-Commerce-3.0-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/22.webp,,
23,Chronic Care : Solving For The Pervasive Chronic Disease Scourge In India,2021,Sept,Kalaari Capital,Healthcare,Chronic Care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/chronic-care_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/23.webp,,
24,Circular Economy,2022,May,Kalaari Capital,Climate & Sustainability,Circular Economy,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Circular-Economy-Report-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/24.webp,,
25,Creator Economy,2022,Jan,Kalaari Capital,Content & Media,Creator Economy,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Creator-Economy-Kalaari-Capital.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/25.webp,,
26,"Decode Your

Termsheet",2023,Nov,Kalaari Capital,Venture Capital & Private Equity,Termsheets,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Decode-Your-Termsheet-%20Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/26.webp,,
27,Decoding Digital India,2024,Jan,Kalaari Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Decoding-Digital-India%20Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/27.webp,,
28,Experience Economy,2022,Jan,Kalaari Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Experience-Economy_Final.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/28.webp,,
29,State of Women In Tech Entrepreneurship 2020 In India,2020,Nov,Yourstory,Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Yourstory/Finalversion-MakersWomeninTechReport-1613978390144.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/29.webp,,
30,Gameconomy: Primer On India's Gaming Opportunity,2023,Jan,Kalaari Capital,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Gameconomy-by-Kalaari-Jan-2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/30.webp,,
31,Hindustan Hamara : A look into the Indian opportunity,2021,Dec,Kalaari Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Hindustan-Hamara-Kalaari-Capital-2021.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/31.webp,,
32,India SaaS: Founder Playbook,2023,Feb,Kalaari Capital,Software,Indian SaaS,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Kalaari-SaaS-%E2%80%93-Founder-Playbook-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/32.webp,,
33,ONDC: Frictionless Digital Commerce,2023,Nov,Kalaari Capital,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/ONDC-Primer-%E2%80%93-Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/33.webp,,
34,ONDC Seller Side: Frictionless Digital Commerce,2023,Aug,Kalaari Capital,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/ONDC-Primer-%E2%80%93-Part-1-Final.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/34.webp,,
35,State of Women In Tech Entrepreneurship 2020 In India,2023,March,"Kalaari Capital, Yourstory",Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/State-of-Women-Entrepreneurship_CXXO_Kalaari.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/35.webp,,
36,Uniquely India: Digital Opportunity,2021,Aug,Kalaari Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/uniquely-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/36.webp,,
37,State of The Fintech Union 2022,2022,Aug,"BCG, Matrix Partners India",Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Matrix/state-of-india-fintech-union-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/37.webp,,
38,State of The Fintech Union 2023,2023,Sept,"BCG, Matrix Partners India",Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Matrix/state-of-the-fintech-union-2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/38.webp,,
39,Cracking The Code : Unveiling India's Consumer Landscape,2023,Dec,"1Lattice, Chiratae Ventures",Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Chiratae%20Consumer%20Tech%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/39.webp,,
40,The Rise Of Digital Bazaars In India,2022,Dec,Bain & Company,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/Digital%20Bazaar_Accel.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/40.webp,,
41,The Winds Of Change: Trends Shaping India’s Fintech Sector- Edition II,2022,Sept,EY,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/ey-winds-of-change-india-fintech-report-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/41.webp,,
42,E-Conomy India 2023,2023,June,"Bain & Company, Temasek, Google",Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/india_economy_report_2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/42.webp,,
43,Delivery Delight Index,2021,June,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Delivery%20delight%20index%208.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/43.webp,,
44,"Beauty D2C Perspective- Is direct the way to go for
Beauty?",2022,Nov,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RSC-Beauty-D2C-Perspective-vF.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/44.webp,,
45,"Restaurants D2C Perspective- How can restaurants sustain in
the evolving food service
industry?",2022,Nov,RedSeer,Consumer Tech,Foodtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RSC-Restaurant-D2C-perspective-vf-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/45.webp,,
46,Online Higher Education & Lifelong Learning: A $5B Opportunity,2020,Aug,RedSeer,Consumer Tech,Edtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/%20Summary%20highered%20market%20narrative%20redseer%20report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/46.webp,,
47,Neobanking In India: The Matrix Upgraded,2022,April,RedSeer,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer%20neobanking%20report%20final%20versionv3.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/47.webp,,
48,The Future of Online Payments 2023,2023,June,RedSeer,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20future%20of%20online%20payments.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/48.webp,,
49,Online Grocery: What Brands Need To Know?,2020,Sept,"RedSeer, Bigbasket",Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Smart-Clicks-To-Win-Indias-Online-Groceries-_-General-Merchandise-Basket-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/49.webp,,
50,India Agritech Perspective Vol - 1,2022,Sept,RedSeer,Agritech,Agritech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Agritech-Report-Ver-2LQ.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/50.webp,,
51,The Dire Need And Rise of Digital Chronic Disease Management In India,2022,June,RedSeer,Healthcare,Chronic Care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20Dire%20Need%20and%20Rise%20of%20Digital.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/51.webp,,
52,Logistics Needs of Indian D2C,2023,Sept,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/D2C-logistics-report_10-10-23_v4.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/52.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20E-logistics%20in%20India.pdf
53,Creator Marketplace: Bridging Gap Between Brands and Influencers in a Ballooning Digital Ad Market- Digital Advertising In India And Disruptive Trends,2023,Jan,RedSeer,Social & Advertising,Adtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Digital-Ad-and-creator-marketplace_vF-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/53.webp,,
54,Demystifing Kirana Ecommerce In India: eE2B Report,2022,Sept,RedSeer,Consumer Tech,B2B,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/eB2B-report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/54.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-Report-Demystifying-Indias-SFV-Platforms-08112384.pdf
55,Edtech In India 2019-20,2020,May,RedSeer,Consumer Tech,Edtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/EdTech-in-India_An-Omidyar-Network-India-%E2%80%93-RedSeer-Perspective.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/55.webp,,
56,Entertainment & Advertising : Riding The Digital Wave,2021,July,RedSeer,Social & Advertising,Social Media,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/entertainmentandadvertisingridingthedigitalwave-210729133233-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/56.webp,,
57,Gated Community: $500B Consumption Story In 2026,2021,Nov,RedSeer,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/gatecommunity-211110065843.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/57.webp,,
58,The Golden Age of India Internet,2022,Feb,RedSeer,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/groundzero6-220329053215.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/58.webp,,
59,Building Up The E-Gaming Ecosystem of India And The Influence of Smartphones,2021,Sept,RedSeer,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Building%20up%20the%20e-gaming%20ecosystem%20of%20India%20and%20the%20influence%20of%20smartphones,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/59.webp,,
60,India Diabetes Report,2022,Jan,RedSeer,Healthcare,Chronic Care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indiadiabetesmarketreport-220119124023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/60.webp,,
61,Indian Egrocery,2021,Jan,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indianegrocery2021report28jan20211-210128154529.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/61.webp,,
62,India Online Furniture Market: Ready For ‘Digital Takeoff’,2021,October,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/indiaonlinefurnituremarketreadyfordigitaltakeoff-211118071240.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/62.webp,,
63,IPL Gaming Report- 2023,2023,March,RedSeer,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/ipl-230407072120-9e36685e.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/63.webp,,
64,Leveling Up India’s Gaming Market,2021,Nov,"RedSeer, Lumikai Fund",Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/levelingupindiasgamingmarket2021-211125173156.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/64.webp,,
65,MSMEs As The Next Growth Engine For Indian Ecommerce,2023,Aug,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/MSME-Report-New.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/65.webp,,
66,Digital Disruptors Ranking: Consumer Products,2023,March,RedSeer,Consumer Tech,D2C,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/PR_Digital-Disruptors.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/66.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Digital%20Disruption-%20UAE%20is%20shaping%20the%20future%20of%20business.pdf
67,Impact of DPI On The Indian Internet Economy,2023,Dec,RedSeer,India Stack,DPI,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer_GZ_DPI-REPORT.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/67.webp,,
68,Charging The Future For A Greener Planet : Electric 2W – Adoption From 0 To 100,2023,Jan,RedSeer,EV & Renewables,EV,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-EV-Report-website.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/68.webp,,
69,The $500 Mn Potential Indian Smartphone Insurance Market,2020,Dec,RedSeer,Insurance,Insurtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RedSeer-India-Smartphone-Insurance-Narrative_2020.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/69.webp,,
70,Demystifying India's SFV Platforms,2023,Nov,RedSeer,Social & Advertising,Short form video (SFV),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-Report-Demystifying-Indias-SFV-Platforms-08112384.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/70.webp,,
71,India Digital SME Credit Report 2023: The $500B Opportunity,2023,Aug,"RedSeer, GetVantage",Financial Services,SME Credit,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Redseer-x-GetVantage-Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/71.webp,,
72,Women Apparel Industry,2017,June,Avendus Capital,Retail,Fashion,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Women%E2%80%98s%20Apparel%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/72.webp,,
73,Retail Lending in a post Covid World – Winners and Laggards,2022,May,Avendus Capital,Financial Services,Lending,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Retail%20lending%20in%20a%20post%20covid%20world%20%E2%80%93%20winners%20and%20laggards.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/73.webp,,
74,Retail Health Insurance - A Large Whitespace,2023,Jan,Avendus Capital,Insurance,Retail Insurance,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Retail%20Health%20Insurance%20-%20A%20Large%20Whitespace.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/74.webp,,
75,Restaurant Industry Report,2022,March,Avendus Capital,"Hospitality, QSR & Food",Restaurants,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Restaurant%20Industry%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/75.webp,,
76,"MSME Lending: Unlocking potential, Realizing Dreams",2023,April,Avendus Capital,Financial Services,Lending,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/MSME%20Lending_%20Unlocking%20potential,%20Realizing%20Dreams.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/76.webp,,
77,India Unjunking : A USD 30 billion appetite for health food,2022,March,Avendus Capital,"Hospitality, QSR & Food",Health Food,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%20Unjunking%20_%20A%20USD%2030%20billion%20appetite%20for%20health%20food.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/77.webp,,
78,"Hot and Spicy: INR 50,000 Cr Branded Spices Market",2021,Aug,Avendus Capital,Retail,Grocery & Staples,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Hot%20and%20Spicy%20_%20INR%2050,000%20Cr%20Branded%20Spices%20Market.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/78.webp,,
79,Consumer Health and Wellness: A Shift From Elective To Essential,2023,July,Avendus Capital,Healthcare,Health & Wellness,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Consumer%20Health%20and%20Wellness_%20A%20Shift%20From%20Elective%20To%20Essential.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/79.webp,,
80,B2B Marketplaces: Revolutionizing the Indian B2B commerce supply chain,2023,April,Avendus Capital,Consumer Tech,B2B,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/B2B%20Marketplaces_%20Revolutionizing%20the%20Indian%20B2B%20commerce%20supply%20chain.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/80.webp,,
81,Agritech: Leading next decade‘s tech-first value creation,2022,Dec,Avendus Capital,Agritech,Agritech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Agritech_%20Leading%20next%20decade%E2%80%98s%20tech-first%20value%20creation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/81.webp,,
82,Digital & Technology : 2021- The Breakout Year,2021,March,Avendus Capital,Venture Capital & Private Equity,Sectors Review,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Digital%20&amp;%20Technology%20_%202021_%20The%20Breakout%20Year.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/82.webp,,
83,D2C Brands: Disrupting the next decade of shopping,2020,October,Avendus Capital,Consumer Tech,D2C,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/D2C%20Brands_%20Disrupting%20the%20next%20decade%20of%20shopping.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/83.webp,,
84,Internet Of Things: Surreal Becomes Real,2019,June,Avendus Capital,AI & Deeptech,Internet of Things (IoT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Internet%20Of%20Things_%20Surreal%20Becomes%20Real.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/84.webp,,
